chromosome	start.pos	end.pos	CNt	A	B	size
chr1	2500000	121500000	2	1	1	119000000
chr1	128900000	226561065	2	1	1	97661065
chr1	226561403	246750621	1	1	0	20189218
chr2	2500000	90500000	2	1	1	88000000
chr2	96800000	240699373	2	1	1	143899373
chr3	2500000	87900000	2	1	1	85400000
chr3	93900000	140694416	2	1	1	46794416
chr3	140710395	181506075	4	3	1	40795680
chr3	181507729	195522430	2	1	1	14014701
chr4	2500000	48200000	2	1	1	45700000
chr4	52700000	188654276	2	1	1	135954276
chr5	2500000	46100000	2	1	1	43600000
chr5	50700000	178415260	2	1	1	127715260
chr6	2500000	58779346	2	1	1	56279346
chr6	63356397	168615067	2	1	1	105258670
chr7	2500000	58000000	4	3	1	55500000
chr7	61700000	67630869	4	3	1	5930869
chr7	67645126	76062644	3	2	1	8417518
chr7	76063333	110582600	2	1	1	34519267
chr7	110584812	111795130	4	2	2	1210318
chr7	111795327	156638663	2	1	1	44843336
chr8	2500000	11926982	2	1	1	9426982
chr8	12617855	35518821	1	1	0	22900966
chr8	35824900	42500752	2	1	1	6675852
chr8	48657359	82691997	2	1	1	34034638
chr8	82692957	143864022	4	3	1	61171065
chr9	2500000	47266146	2	1	1	44766146
chr9	65507614	70940402	2	2	0	5432788
chr9	70950679	138713431	2	1	1	67762752
chr10	2500000	38000000	2	1	1	35500000
chr10	42300000	133034747	2	1	1	90734747
chr11	2500000	51600000	2	1	1	49100000
chr11	55700000	126346868	2	1	1	70646868
chr11	126347712	128206410	1	1	0	1858698
chr11	128206743	132506516	2	1	1	4299773
chr12	2500000	33000000	2	1	1	30500000
chr12	38200000	131351895	2	1	1	93151895
chr13	19651537	25109533	3	2	1	5457996
chr13	25111631	73652158	4	3	1	48540527
chr13	73653179	112669878	6	4	2	39016699
chr14	19100000	104849540	1	1	0	85749540
chr15	20700000	21941688	0	0	0	1241688
chr15	21968199	100031392	1	1	0	78063193
chr16	2500000	32095456	2	1	1	29595456
chr16	34011804	35284192	3	2	1	1272388
chr16	46455970	87854753	2	1	1	41398783
chr17	2500000	21193803	1	1	0	18693803
chr17	25800000	78695210	2	1	1	52895210
chr18	2500000	15400000	1	1	0	12900000
chr18	19000000	75577248	1	1	0	56577248
chr19	2500000	24400000	2	1	1	21900000
chr19	28600000	56628983	2	1	1	28028983
chr20	2500000	18767699	1	1	0	16267699
chr20	18768716	24323985	5	4	1	5555269
chr20	29591543	60525520	4	3	1	30933977
chr21	14368893	45629895	3	2	1	31261002
chr22	18905894	48804566	2	2	0	29898672
chrX	2832191	58566377	2	1	1	55734186
chrX	61736255	152770560	2	2	0	91034305
