chromosome	start.pos	end.pos	CNt	A	B	size
chr1	2847119	28391015	2	2	0	25543896
chr1	28391482	121500000	4	2	2	93108518
chr1	128900000	145076428	4	2	2	16176428
chr1	145076471	146485249	4	3	1	1408778
chr1	146485303	147852692	4	2	2	1367389
chr1	147852713	149752455	4	3	1	1899742
chr1	149752587	246750621	4	2	2	96998034
chr2	2500000	90500000	4	2	2	88000000
chr2	96800000	240699373	4	2	2	143899373
chr3	2500000	87900000	4	2	2	85400000
chr3	93900000	195522430	4	2	2	101622430
chr4	2500000	48200000	4	2	2	45700000
chr4	52700000	188654276	4	2	2	135954276
chr5	2500000	46100000	4	2	2	43600000
chr5	50700000	77872113	4	2	2	27172113
chr5	77882036	178415260	4	4	0	100533224
chr6	2500000	26634436	4	4	0	24134436
chr6	26638503	34883363	5	4	1	8244860
chr6	34887258	41515530	4	3	1	6628272
chr6	41517457	58700000	4	2	2	17182543
chr6	63300000	168615067	4	2	2	105315067
chr7	2500000	58000000	4	2	2	55500000
chr7	61700000	156638663	4	2	2	94938663
chr8	2500000	6930173	4	2	2	4430173
chr8	6930335	8088230	4	3	1	1157895
chr8	8088877	43100000	4	2	2	35011123
chr8	48100000	143864022	4	2	2	95764022
chr9	2500000	47266433	4	2	2	44766433
chr9	65474794	71330398	4	3	1	5855604
chr9	71331084	138713431	4	2	2	67382347
chr10	2500000	38000000	4	2	2	35500000
chr10	42300000	68156496	4	2	2	25856496
chr10	68164444	92445650	2	2	0	24281206
chr10	92446898	133034747	4	2	2	40587849
chr11	2500000	51600000	4	2	2	49100000
chr11	55700000	132506516	4	2	2	76806516
chr12	2500000	33000000	4	2	2	30500000
chr12	38200000	131351895	4	2	2	93151895
chr13	19500000	112669878	4	2	2	93169878
chr14	19100000	104849540	4	2	2	85749540
chr15	20700000	22593954	4	3	1	1893954
chr15	22595595	62600915	4	2	2	40005320
chr15	62601516	100031392	4	3	1	37429876
chr16	2500000	34014020	4	2	2	31514020
chr16	34014029	35284771	4	3	1	1270742
chr16	46427989	87854753	4	2	2	41426764
chr17	2500000	22200000	4	2	2	19700000
chr17	25800000	78695210	4	2	2	52895210
chr18	2500000	15410735	2	1	1	12910735
chr18	18712214	75577248	2	2	0	56865034
chr19	2500000	24400000	4	2	2	21900000
chr19	28600000	56628983	4	2	2	28028983
chr20	2500000	25756117	2	2	0	23256117
chr20	29804208	60525520	6	4	2	30721312
chr21	9411410	11187927	4	3	1	1776517
chr21	15221657	45629895	4	2	2	30408238
chr22	17900000	48804566	4	2	2	30904566
chrX	2832070	58100000	5	3	2	55267930
chrX	63000000	152770560	5	3	2	89770560
chrY	2932746	10038767	4	3	1	7106021
chrY	13463963	56873566	4	2	2	43409603
